productid,country,company,cost,estimatedTime,tracked
32868589524,PG,DHL,99.45 USD,11-18 days,true
32868589524,PE,China Post Registered Air Mail,2.01 USD,45-60 days,true
32868589524,PE,AliExpress Standard Shipping,5.21 USD,43-59 days,true
32868589524,PE,EMS,39.24 USD,18-27 days,true
32868589524,PE,DHL,99.45 USD,11-23 days,true
32868589524,PN,China Post Registered Air Mail,2.07 USD,20-40 days,true
32868589524,PN,AliExpress Standard Shipping,5.01 USD,20-40 days,true
32868589524,PS,China Post Registered Air Mail,2.21 USD,38-58 days,true
32868589524,PS,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,RE,China Post Registered Air Mail,2.31 USD,47-60 days,false
32868589524,RE,AliExpress Standard Shipping,5.41 USD,36-56 days,false
32868589524,RE,DHL,99.45 USD,10-20 days,true
32868589524,NE,China Post Registered Air Mail,2.21 USD,19-41 days,false
32868589524,NE,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,NE,EMS,52.14 USD,7-15 days,true
32868589524,NE,DHL,99.45 USD,7-15 days,true
32868589524,NI,China Post Registered Air Mail,2.21 USD,57-60 days,false
32868589524,NI,AliExpress Standard Shipping,5.41 USD,60 days,false
32868589524,NI,DHL,99.45 USD,7-15 days,true
32868589524,PR,China Post Registered Air Mail,2.31 USD,23-41 days,false
32868589524,PR,AliExpress Standard Shipping,5.41 USD,23-46 days,false
32868589524,PR,DHL,99.45 USD,9-23 days,true
32868589524,QA,China Post Registered Air Mail,0 USD,21-44 days,false
32868589524,QA,AliExpress Standard Shipping,4.87 USD,21-40 days,false
32868589524,QA,EMS,52.14 USD,15-27 days,true
32868589524,QA,DHL,66.25 USD,8-15 days,true
32868589524,PA,China Post Registered Air Mail,2.21 USD,50-60 days,false
32868589524,PA,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,PA,EMS,39.24 USD,7-15 days,true
32868589524,PA,DHL,99.45 USD,11-23 days,true
32868589524,NG,China Post Registered Air Mail,2.17 USD,23-42 days,true
32868589524,NG,AliExpress Standard Shipping,5.00 USD,20-35 days,true
32868589524,NG,EMS,52.14 USD,15-27 days,true
32868589524,NG,DHL,99.45 USD,9-18 days,true
32868589524,PY,China Post Registered Air Mail,2.21 USD,48-60 days,false
32868589524,PY,AliExpress Standard Shipping,5.41 USD,32-56 days,false
32868589524,PY,DHL,99.45 USD,7-15 days,true
32868589524,MP,China Post Registered Air Mail,2.07 USD,20-40 days,false
32868589524,MP,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,OM,China Post Registered Air Mail,2.05 USD,36-53 days,false
32868589524,OM,AliExpress Standard Shipping,4.87 USD,27-46 days,false
32868589524,OM,EMS,52.14 USD,19-27 days,true
32868589524,OM,DHL,66.25 USD,9-22 days,true
32868589524,PK,China Post Registered Air Mail,1.94 USD,23-40 days,false
32868589524,PK,AliExpress Standard Shipping,4.86 USD,21-39 days,false
32868589524,PK,EMS,35.14 USD,19-27 days,true
32868589524,PK,DHL,99.45 USD,9-18 days,true
32868589524,PW,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,PW,DHL,99.45 USD,7-15 days,true
32868589524,NU,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,NU,DHL,99.45 USD,7-15 days,true
32868589524,NF,China Post Registered Air Mail,2.02 USD,20-40 days,false
32868589524,NF,AliExpress Standard Shipping,4.83 USD,20-40 days,false
32868589524,RO,China Post Registered Air Mail,2.09 USD,29-51 days,false
32868589524,RO,AliExpress Standard Shipping,5.43 USD,27-49 days,false
32868589524,RO,EMS,52.14 USD,20-27 days,true
32868589524,RO,DHL,99.45 USD,12-22 days,true
32868589524,SH,China Post Registered Air Mail,2.21 USD,20-40 days,true
32868589524,SH,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,SH,DHL,99.45 USD,4-8 days,false
32868589524,LC,China Post Registered Air Mail,2.21 USD,31-53 days,false
32868589524,LC,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,LC,DHL,99.45 USD,7-15 days,true
32868589524,SI,China Post Registered Air Mail,1.76 USD,20-33 days,true
32868589524,SI,AliExpress Standard Shipping,5.04 USD,16-25 days,true
32868589524,SI,DHL,51.82 USD,9-19 days,true
32868589524,KN,China Post Registered Air Mail,2.31 USD,20-40 days,false
32868589524,KN,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,SN,China Post Registered Air Mail,2.21 USD,25-49 days,false
32868589524,SN,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,SN,EMS,52.14 USD,7-15 days,true
32868589524,SN,DHL,99.45 USD,8-17 days,true
32868589524,SX,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,SX,DHL,99.45 USD,4-8 days,false
32868589524,SB,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,SB,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,SB,DHL,99.45 USD,7-15 days,true
32868589524,WS,China Post Registered Air Mail,2.07 USD,20-40 days,false
32868589524,WS,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,WS,DHL,99.45 USD,7-15 days,true
32868589524,SC,China Post Registered Air Mail,2.21 USD,47-60 days,false
32868589524,SC,AliExpress Standard Shipping,5.41 USD,34-58 days,false
32868589524,SC,DHL,99.45 USD,10-21 days,true
32868589524,SA,Aliexpress Direct,0 USD,10-20 days,true
32868589524,SA,China Post Registered Air Mail,0 USD,36 days,true
32868589524,SA,AliExpress Standard Shipping,4.87 USD,28 days,true
32868589524,SA,ePacket,5.19 USD,31 days,true
32868589524,SA,EMS,52.14 USD,27 days,true
32868589524,SA,DHL,66.25 USD,12-23 days,true
32868589524,SO,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,SO,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,SO,DHL,99.45 USD,7-15 days,true
32868589524,ST,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,ST,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,ST,DHL,99.45 USD,7-15 days,true
32868589524,SM,China Post Registered Air Mail,2.21 USD,37-58 days,false
32868589524,SM,AliExpress Standard Shipping,5.19 USD,20-40 days,false
32868589524,SM,DHL,99.45 USD,7-15 days,true
32868589524,SL,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,SL,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,SL,DHL,99.45 USD,7-15 days,true
32868589524,RW,China Post Registered Air Mail,2.21 USD,29-53 days,false
32868589524,RW,AliExpress Standard Shipping,5.41 USD,28-52 days,false
32868589524,RW,EMS,52.14 USD,7-15 days,true
32868589524,RW,DHL,99.45 USD,7-15 days,true
32868589524,PM,China Post Registered Air Mail,2.31 USD,20-40 days,false
32868589524,PM,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,VC,China Post Registered Air Mail,2.31 USD,20-40 days,false
32868589524,VC,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,VC,DHL,99.45 USD,7-15 days,false
32868589524,SG,AliExpress Standard Shipping,0 USD,14-24 days,true
32868589524,SG,China Post Registered Air Mail,0 USD,17-33 days,true
32868589524,SG,ePacket,4.85 USD,20-35 days,true
32868589524,SG,EMS,22.26 USD,10-24 days,true
32868589524,SG,DHL,39.36 USD,6-13 days,true
32868589524,ZA,China Post Registered Air Mail,0 USD,40-59 days,true
32868589524,ZA,AliExpress Standard Shipping,5.00 USD,37-57 days,true
32868589524,ZA,EMS,32.80 USD,20-27 days,true
32868589524,ZA,DHL,99.45 USD,9-22 days,true
32868589524,SZ,China Post Registered Air Mail,2.21 USD,32-57 days,false
32868589524,SZ,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,SZ,DHL,99.45 USD,7-15 days,true
32868589524,SY,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,SY,EMS,52.14 USD,7-15 days,true
32868589524,SY,DHL,99.45 USD,7-15 days,true
32868589524,TZ,China Post Registered Air Mail,2.21 USD,23-44 days,false
32868589524,TZ,AliExpress Standard Shipping,5.41 USD,23-43 days,false
32868589524,TZ,DHL,99.45 USD,14-23 days,true
32868589524,LK,China Post Registered Air Mail,2.01 USD,23-45 days,false
32868589524,LK,AliExpress Standard Shipping,4.93 USD,18-38 days,false
